column,data_type,unit,role,valid_values_or_range,description,cleaning_notes
record_id,string,none,primary_key,unique NPB-####,Synthetic community-morphotype observation.,
community_code,category,none,design,COM-01..COM-12,De-identified fictitious community code.,
region,category,none,design,Cusco|Puno|Ayacucho,Broad synthetic region.,
survey_round,category,none,design,2025-baseline,Survey campaign.,
sampling_visit,integer,none,design,1-4,Visit number within the campaign.,
households_interviewed,integer,households,sampling,1-100,"Sampling effort, not community population.",
altitude_band,category,none,confounder,low|mid|high,Altitude stratum confounding market distance and persistence.,
altitude_m,number,m,context,1500-5000,Generalized altitude; no precise coordinates are supplied.,
market_distance_km,number,km,confounded_exposure,0-250,Road distance to a reference market.,
morphotype_id,category,none,design,MOR-SYN-001..060,Fictitious morphotype identifier; not a genetic identity claim.,
local_variety_name,string,none,context,local names,Synthetic local name; synonyms and homonyms may be legitimate.,
skin_primary_color,category,none,context,red|purple|yellow|cream|multicolour,Simplified skin-colour descriptor.,
main_use,category,none,context,boiling|chuño|soup|market|ceremonial,Primary reported use.,
seed_exchange_events_year,integer,events/year,predictor,0-20,Reported seed-exchange frequency; planted positive relationship with persistence.,
number_of_reported_uses,integer,count,predictor,1-10,Number of distinct reported uses; planted positive relationship with persistence.,
years_reported_in_community,integer,years,context,0-150,"Reported duration, not independently verified.",
observed_next_season,integer,0/1,outcome,0|1,Whether the morphotype was observed in the simulated follow-up.,
interviewer_badge_number,integer,none,null,1000-9999,"Random interviewer badge, unrelated to persistence.",
next_season_observed_copy,integer,0/1,leakage,0|1,Direct copy of the future outcome; intentionally unsafe for prediction.,
