column,data_type,unit,role,valid_values_or_range,description,cleaning_notes
record_id,string,none,primary_key,unique SSQ-####,Synthetic inspected-lot record.,
lot_id,string,none,design,LOT-SYN-#####,Fictitious seed-lot identifier.,
country_site,category,none,confounder,Peru-Cusco|Kenya-Nakuru|Uganda-Kabale|India-Karnataka,Synthetic production/inspection site.,
crop,category,none,design,potato|sweetpotato,Crop represented by the planting material.,
season,category,none,design,2025-A|2025-B,Production season.,
producer_scale,category,none,design,small|medium|commercial,Simplified producer scale.,
inspection_round,integer,round,design,1-3,Quality-inspection round.,
multiplication_cycle,integer,cycle,design,1-5,Vegetative multiplication cycle.,
virus_incidence_pct,number,%,predictor,0-100,Synthetic virus incidence; planted negative relationship with marketable seed.,
training_visits,integer,visits,predictor,0-20,Technical-support visits; planted positive relationship.,
inspection_fee_usd,number,USD,confounded_exposure,>=0,"Inspection fee, confounded by country_site.",
lot_weight_kg,number,kg,context,>=0,Lot weight.,
marketable_seed_pct,number,%,outcome,0-100,Share meeting the synthetic quality criteria.,
rejection_pct,number,%,outcome_secondary,0-100,Complement of marketable seed.,
bag_label_number,integer,none,null,1000-9999,Random label number unrelated to quality.,
marketable_seed_fraction,number,fraction,leakage,0-1,The target expressed as a fraction; exclude when predicting marketable_seed_pct.,
