column,data_type,unit,role,valid_values_or_range,description,cleaning_notes
record_id,string,none,primary_key,unique CSA-####,Synthetic plot-season record.,
site,category,none,confounder,Andes-high|Coast-dry|Lake-region|Rift-highland,Broad synthetic agroecological site.,
season,category,none,design,2024-25|2025-26,Cropping season.,
block,integer,none,design,1-4,Block within site.,
plot,integer,none,design,1-10,Plot number within block.,
crop,category,none,design,potato|sweetpotato,Crop.,
management_system,category,none,design,farmer-practice|improved,Synthetic management label; not randomized independently of block.,
rainfall_mm,number,mm/season,context,0-2000,Seasonal rainfall.,
soil_moisture_pct,number,%,predictor,0-100,Root-zone soil moisture; planted positive relationship with yield.,
mulch_coverage_pct,number,%,predictor,0-100,Surface mulch cover; planted positive relationship with yield.,
irrigation_events,number,events/season,confounded_exposure,0-40,"Irrigation events, confounded by site.",
nitrogen_kg_ha,number,kg/ha,context,0-400,Applied nitrogen.,
yield_t_ha,number,t/ha,outcome,0-80,Synthetic harvested yield.,
water_use_efficiency_kg_m3,number,kg/m3,outcome_secondary,>=0,Derived water-use-efficiency indicator.,
weather_station_serial_digit,integer,none,null,1000-9999,Random station serial digit unrelated to yield.,
gross_revenue_usd_ha,number,USD/ha,leakage,>=0,Post-harvest revenue derived from yield and price.,
