column,data_type,unit,role,valid_values_or_range,description,cleaning_notes
record_id,string,none,primary_key,unique VCA-####,Synthetic de-identified respondent record.,
country,category,none,design,Peru|Kenya|Uganda,Synthetic country context.,
district_code,category,none,design,synthetic district code,De-identified district code.,
survey_round,category,none,design,2026-baseline,Survey campaign.,
cluster,category,none,design,CL-01..CL-30,Sampling cluster.,
enumerator_team,category,none,design,TEAM-1..TEAM-6,Enumerator team.,
respondent_gender,category,none,protected_context,woman|man|another/prefer-not-to-say,Self-described gender category.,
respondent_age_years,integer,years,context,18-100,Synthetic respondent age.,
education_band,category,none,confounder,primary|secondary|post-secondary,Education band confounding smartphone ownership and adoption.,
extension_contacts_year,integer,contacts/year,predictor,0-30,Extension contacts; planted positive relationship with adoption.,
market_access_score,number,index 0-100,predictor,0-100,Composite market-access score; planted positive relationship.,
smartphone_owned,integer,0/1,confounded_exposure,0|1,"Smartphone ownership, confounded by education.",
annual_farm_income_usd,number,USD/year,context,>=0,Synthetic annual farm income.,
technology_adopted,integer,0/1,outcome,0|1,Whether the synthetic technology was adopted.,
questionnaire_version_digit,integer,none,null,1000-9999,Random questionnaire digit unrelated to adoption.,
post_adoption_sales_usd,number,USD/year,leakage,>=0,Measured after adoption and structurally zero for non-adopters; unsafe for adoption prediction.,
