column,data_type,unit,role,valid_values_or_range,description,cleaning_notes
record_id,string,none,primary_key,unique SPN-####,Synthetic sample identifier.,
location,category,none,design,Maputo|Kampala|Lima,Evaluation location.,
season,category,none,design,2025-B,Evaluation season.,
block,integer,none,design,1-3,Field block.,
replicate,integer,none,design,1-3,Biological replicate.,
lab_batch,category,none,confounder,LAB-A|LAB-B,Laboratory batch that confounds storage duration and beta-carotene.,
genotype,category,none,design,SP-SYN-001..020,Fictitious sweetpotato genotype.,
flesh_color,category,none,context,orange|cream|purple,Simplified flesh-colour class.,
orange_color_index,number,index 0-100,predictor,0-100,Instrument-derived orange intensity; planted positive relationship.,
carotenoid_pathway_score,number,index 0-100,predictor,0-100,Synthetic pathway score; planted positive relationship.,
storage_days,number,days,confounded_exposure,0-90,Days before laboratory measurement; confounded by lab batch.,
beta_carotene_ug_g,number,ug/g fresh weight,outcome,0-200,Synthetic beta-carotene concentration.,
iron_mg_kg,number,mg/kg,outcome_secondary,0-100,Synthetic iron concentration.,
dry_matter_pct,number,%,outcome_secondary,0-50,Root dry matter.,
sensory_acceptance_score,number,1-9,outcome_secondary,1-9,Synthetic panel acceptance score.,
rack_slot_number,integer,none,null,100-999,Random rack position unrelated to nutrition.,
beta_carotene_mg_100g,number,mg/100g fresh weight,leakage,>=0,The target beta-carotene expressed in another unit; exclude when predicting beta_carotene_ug_g.,
