column,data_type,unit,role,valid_values_or_range,description,cleaning_notes
record_id,string,none,primary_key,unique GBR-####,Synthetic conservation assessment.,
accession_id,string,none,design,ACC-SYN-#####,Fictitious accession identifier.,
crop_group,category,none,confounder,potato|sweetpotato|andean-root,Broad crop group confounding room temperature and viability.,
storage_method,category,none,design,cryogenic|in-vitro,Synthetic storage method.,
storage_room,category,none,design,ROOM-1..ROOM-6,Storage room identifier.,
lab_batch,category,none,design,BATCH-year-number,Laboratory processing batch.,
regeneration_cycle,integer,cycle,design,1-4,Regeneration cycle number.,
evaluation_year,integer,year,design,2025-2026,Assessment year.,
storage_duration_months,number,months,predictor,0-240,Storage duration; planted negative relationship with viability.,
contamination_load_pct,number,%,predictor,0-100,Observed contamination; planted negative relationship with viability.,
cold_room_temperature_c,number,deg C,confounded_exposure,-196 to 30,"Room temperature, confounded by crop group and storage method.",
subculture_count,integer,count,context,0-30,Number of subculture events.,
viability_pct,number,%,outcome,0-100,Synthetic viability estimate.,
tray_position_number,integer,none,null,100-999,Random tray position unrelated to viability.,
viability_loss_pct,number,%,leakage,0-100,100 minus viability; exclude when predicting viability.,
